,activity_period,marketplace,transaction_type,asin,product_name,qty,item_weight,total_activity_weight,price_of_items_amt_vat_excl,total_price_of_items_amt_vat_excl,ship_charge_amt_vat_excl,total_ship_charge_amt_vat_excl,total_activity_value_amt_vat_excl,price_of_items_vat_rate_percent,price_of_items_vat_amt,total_price_of_items_vat_amt,ship_charge_vat_rate_percent,ship_charge_vat_amt,total_ship_charge_vat_amt,total_activity_value_vat_amt,price_of_items_amt_vat_incl,total_price_of_items_amt_vat_incl,ship_charge_amt_vat_incl,total_ship_charge_amt_vat_incl,total_activity_value_amt_vat_incl,transaction_currency_code,depature_city,departure_country,departure_post_code,arrival_city,arrival_country,arrival_post_code,sale_depart_country,sale_arrival_country,transportation_mode,delivery_conditions,taxable_jurisdiction,export_outside_eu,tax_reporting_scheme,tax_collection_responsibility
0,2022-01-01,amazon.it,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,19.99,19.99,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,19.99,0.0,0.0,19.99,EUR,Barcelona,ES,08820,Sesto San Giovanni,IT,20099,ES,IT,CONSIGNMENT_BY_POST,DAP,ITALY,NO,REGULAR,SELLER
1,2022-01-01,amazon.de,REFUND,B08GSNC3SG,Immersion Heater 1.500 W,1,,,-50.41,-50.41,,,-50.41,0.19,-9.58,-9.58,,,,-9.58,-59.99,-59.99,,,-59.99,EUR,Pforzheim,,75177,Dusslingen,,72144,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
2,2022-01-01,amazon.co.uk,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.49,12.49,4.16,4.16,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.49,12.49,4.16,4.16,16.65,GBP,Tilbury,GB,RM18 7AN,GOSPORT,GB,PO12 4HT,GB,GB,CONSIGNMENT_BY_POST,DAP,UNITED KINGDOM,NO,UK_VOEC-DOMESTIC,MARKETPLACE
3,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,12.6,0.19,2.39,2.39,0.19,0.0,0.0,2.39,14.99,14.99,0.0,0.0,14.99,EUR,Monchengladbach,DE,41179,Düsseldorf,DE,40233,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
4,2022-01-01,amazon.de,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,11.76,11.76,0.0,0.0,11.76,0.19,2.23,2.23,0.19,0.0,0.0,2.23,13.99,13.99,0.0,0.0,13.99,EUR,Monchengladbach,DE,41179,Düsseldorf,DE,40233,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
5,2022-01-01,amazon.co.uk,SALE,B08L3Z6LM9,Wine Bottle Stand (Rose),1,0.05,0.05,9.27,9.27,0.0,0.0,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,9.27,0.0,0.0,9.27,GBP,Bolton,GB,BL5 1BT,Newton-Le-Willows,GB,WA12 9DS,GB,GB,CONSIGNMENT_BY_POST,DAP,UNITED KINGDOM,NO,UK_VOEC-DOMESTIC,MARKETPLACE
6,2022-01-01,amazon.de,RETURN,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,,,,,,,,,,,,,,,,,,,TROISDORF,DE,53844,Trnava,SK,92601,DE,DE,CONSIGNMENT_BY_POST,XXX,,,,
7,2022-01-01,amazon.de,RETURN,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,,,,,,,,,,,,,,,,,,,TROISDORF,DE,53844,Trnava,SK,92601,DE,DE,CONSIGNMENT_BY_POST,XXX,,,,
8,2022-01-01,amazon.de,REFUND,B08L3ZJ7QG,Wine Bottle Stand (Red),1,,,-12.6,-12.6,,,-12.6,0.19,-2.39,-2.39,,,,-2.39,-14.99,-14.99,,,-14.99,EUR,Monchengladbach,,41179,Troisdorf,,53844,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
9,2022-01-01,amazon.de,REFUND,B08L3Z9SSD,Wine Bottle Stand (Topas),1,,,-11.76,-11.76,,,-11.76,0.19,-2.23,-2.23,,,,-2.23,-13.99,-13.99,,,-13.99,EUR,Monchengladbach,,41179,Troisdorf,,53844,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
10,2022-01-01,amazon.it,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,19.99,19.99,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,19.99,0.0,0.0,19.99,EUR,Barcelona,ES,08820,roma,IT,00156,ES,IT,CONSIGNMENT_BY_POST,DAP,ITALY,NO,REGULAR,SELLER
11,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,12.6,0.19,2.39,2.39,0.19,0.0,0.0,2.39,14.99,14.99,0.0,0.0,14.99,EUR,Monchengladbach,DE,41179,Hamburg,DE,20095,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
12,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),2,0.04,0.08,25.2,25.2,1.67,0.0,25.2,0.19,4.78,4.78,0.19,0.32,0.0,4.78,29.98,29.98,1.99,0.0,29.98,EUR,Monchengladbach,DE,41179,Nagold,DE,72202,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
13,2022-01-01,amazon.de,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),2,0.04,0.08,23.52,23.52,1.68,0.0,23.52,0.19,4.46,4.46,0.19,0.32,0.0,4.46,27.98,27.98,2.0,0.0,27.98,EUR,Monchengladbach,DE,41179,Nagold,DE,72202,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
14,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,12.6,0.19,2.39,2.39,0.19,0.0,0.0,2.39,14.99,14.99,0.0,0.0,14.99,EUR,Monchengladbach,DE,41179,Gailingen am Hochrhein,DE,78262,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
15,2022-01-01,amazon.de,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,11.76,11.76,0.0,0.0,11.76,0.19,2.23,2.23,0.19,0.0,0.0,2.23,13.99,13.99,0.0,0.0,13.99,EUR,Monchengladbach,DE,41179,Gailingen am Hochrhein,DE,78262,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
16,2022-01-01,amazon.it,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,19.99,19.99,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,19.99,0.0,0.0,19.99,EUR,Illescas,ES,45200,roma,IT,00126,ES,IT,CONSIGNMENT_BY_POST,DAP,ITALY,NO,REGULAR,SELLER
17,2022-01-01,amazon.it,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,19.99,19.99,0.0,0.0,19.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,19.99,0.0,0.0,19.99,EUR,San Fernando de Henares,ES,28830,roma,IT,00126,ES,IT,CONSIGNMENT_BY_POST,DAP,ITALY,NO,REGULAR,SELLER
18,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,12.6,0.19,2.39,2.39,0.19,0.0,0.0,2.39,14.99,14.99,0.0,0.0,14.99,EUR,Monchengladbach,DE,41179,Düring - Loxstedt,DE,27612,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
19,2022-01-01,amazon.de,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.6,12.6,0.0,0.0,12.6,0.19,2.39,2.39,0.19,0.0,0.0,2.39,14.99,14.99,0.0,0.0,14.99,EUR,Monchengladbach,DE,41179,Duisburg,DE,47179,DE,DE,CONSIGNMENT_BY_POST,DAP,GERMANY,NO,REGULAR,SELLER
20,2022-01-01,amazon.co.uk,SALE,B08L3ZJ7QG,Wine Bottle Stand (Red),1,0.04,0.04,12.49,12.49,0.0,0.0,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.49,12.49,0.0,0.0,12.49,GBP,BOWBURN,GB,DH6 5NP,GLASGOW,GB,G72 8YN,GB,GB,CONSIGNMENT_BY_POST,DAP,UNITED KINGDOM,NO,UK_VOEC-DOMESTIC,MARKETPLACE
21,2022-01-01,amazon.co.uk,SALE,B08L3Z9SSD,Wine Bottle Stand (Topas),1,0.04,0.04,9.23,9.23,0.0,0.0,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,9.23,0.0,0.0,9.23,GBP,BOWBURN,GB,DH6 5NP,GLASGOW,GB,G72 8YN,GB,GB,CONSIGNMENT_BY_POST,DAP,UNITED KINGDOM,NO,UK_VOEC-DOMESTIC,MARKETPLACE
22,2022-01-01,amazon.co.uk,SALE,B08L3Z6LM9,Wine Bottle Stand (Rose),1,0.05,0.05,9.27,9.27,0.0,0.0,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.27,9.27,0.0,0.0,9.27,GBP,BOWBURN,GB,DH6 5NP,GLASGOW,GB,G72 8YN,GB,GB,CONSIGNMENT_BY_POST,DAP,UNITED KINGDOM,NO,UK_VOEC-DOMESTIC,MARKETPLACE
